Country Name,Country Code,"2001 [YR2001] - Population, total [SP.POP.TOTL]","2002 [YR2002] - Population, total [SP.POP.TOTL]","2003 [YR2003] - Population, total [SP.POP.TOTL]","2004 [YR2004] - Population, total [SP.POP.TOTL]","2005 [YR2005] - Population, total [SP.POP.TOTL]","2006 [YR2006] - Population, total [SP.POP.TOTL]","2007 [YR2007] - Population, total [SP.POP.TOTL]","2008 [YR2008] - Population, total [SP.POP.TOTL]","2009 [YR2009] - Population, total [SP.POP.TOTL]","2010 [YR2010] - Population, total [SP.POP.TOTL]","2011 [YR2011] - Population, total [SP.POP.TOTL]","2012 [YR2012] - Population, total [SP.POP.TOTL]","2013 [YR2013] - Population, total [SP.POP.TOTL]","2014 [YR2014] - Population, total [SP.POP.TOTL]","2015 [YR2015] - Population, total [SP.POP.TOTL]","2016 [YR2016] - Population, total [SP.POP.TOTL]","2017 [YR2017] - Population, total [SP.POP.TOTL]","2018 [YR2018] - Population, total [SP.POP.TOTL]","2019 [YR2019] - Population, total [SP.POP.TOTL]","2020 [YR2020] - Population, total [SP.POP.TOTL]","2021 [YR2021] - Population, total [SP.POP.TOTL]","2022 [YR2022] - Population, total [SP.POP.TOTL]","2023 [YR2023] - Population, total [SP.POP.TOTL]","2024 [YR2024] - Population, total [SP.POP.TOTL]","2025 [YR2025] - Population, total [SP.POP.TOTL]","2026 [YR2026] - Population, total [SP.POP.TOTL]","2027 [YR2027] - Population, total [SP.POP.TOTL]","2028 [YR2028] - Population, total [SP.POP.TOTL]","2029 [YR2029] - Population, total [SP.POP.TOTL]","2030 [YR2030] - Population, total [SP.POP.TOTL]","2031 [YR2031] - Population, total [SP.POP.TOTL]","2032 [YR2032] - Population, total [SP.POP.TOTL]","2033 [YR2033] - Population, total [SP.POP.TOTL]","2034 [YR2034] - Population, total [SP.POP.TOTL]","2035 [YR2035] - Population, total [SP.POP.TOTL]","2036 [YR2036] - Population, total [SP.POP.TOTL]","2037 [YR2037] - Population, total [SP.POP.TOTL]","2038 [YR2038] - Population, total [SP.POP.TOTL]","2039 [YR2039] - Population, total [SP.POP.TOTL]","2040 [YR2040] - Population, total [SP.POP.TOTL]","2041 [YR2041] - Population, total [SP.POP.TOTL]","2042 [YR2042] - Population, total [SP.POP.TOTL]","2043 [YR2043] - Population, total [SP.POP.TOTL]","2044 [YR2044] - Population, total [SP.POP.TOTL]","2045 [YR2045] - Population, total [SP.POP.TOTL]","2046 [YR2046] - Population, total [SP.POP.TOTL]","2047 [YR2047] - Population, total [SP.POP.TOTL]","2048 [YR2048] - Population, total [SP.POP.TOTL]","2049 [YR2049] - Population, total [SP.POP.TOTL]","2050 [YR2050] - Population, total [SP.POP.TOTL]"
Czech Republic,CZE,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10703446,10713000,10720000,10723000,10724000,10722000,10717000,10710000,10700000,10687000,10673000,10657000,10641000,10624000,10608000,10593000,10579000,10567000,10556000,10547000,10540000,10534000,10529000,10524000,10520000,10516000,10512000,10508000,10504000,10497000
Denmark,DNK,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733,5877000,5897000,5918000,5938000,5958000,5976000,5994000,6011000,6027000,6042000,6057000,6072000,6086000,6101000,6115000,6129000,6142000,6155000,6167000,6178000,6188000,6198000,6207000,6216000,6224000,6232000,6240000,6247000,6254000
Djibouti,DJI,733019,746947,759639,771599,783248,794554,805456,816361,827820,840194,853671,868136,883296,898707,913998,929117,944100,958923,973557,988002,1002197,1016000,1030000,1043000,1056000,1069000,1081000,1093000,1105000,1117000,1128000,1139000,1150000,1160000,1170000,1180000,1189000,1199000,1208000,1217000,1226000,1234000,1243000,1251000,1259000,1266000,1274000,1281000,1289000,1295000
Dominica,DMA,69671,69840,70102,70387,70580,70718,70797,70829,70848,70877,70912,70954,71019,71091,71175,71307,71460,71626,71808,71991,72172,72000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,72000,72000,72000,72000,72000,72000,71000,71000,71000,71000
Dominican Republic,DOM,8598599,8724974,8850317,8974444,9097262,9218681,9338856,9458079,9576736,9695117,9813219,9930916,10048226,10165182,10281675,10397738,10513111,10627147,10738957,10847904,10953714,11056000,11156000,11252000,11346000,11437000,11525000,11609000,11691000,11770000,11847000,11921000,11992000,12060000,12126000,12189000,12250000,12308000,12364000,12416000,12467000,12515000,12560000,12602000,12642000,12678000,12712000,12743000,12771000,12796000
Early-demographic dividend,EAR,2516662185,2560101448,2603300762,2646483605,2689792006,2733278857,2776922505,2820636607,2864298814,2907916947,2951423688,2994346938,3037084158,3079685581,3122156833,3164439749,3206485623,3248413593,3290291029,3332103561,3373866849,3415287000,3456372000,3496895000,3536681000,3575651000,3613816000,3651196000,3687842000,3723791000,3759033000,3793523000,3827247000,3860186000,3892338000,3923676000,3954217000,3983935000,4012847000,4040942000,4068210000,4094658000,4120272000,4145052000,4168999000,4192100000,4214364000,4235771000,4256311000,4275978000
East Asia & Pacific,EAS,2065912033,2083186086,2099602481,2115458625,2131146847,2146744105,2161785511,2177119138,2192059400,2206884622,2222577723,2240312711,2257904491,2275075985,2291503725,2307707227,2324120551,2338485387,2351127942,2361517682,2368622859,2379030000,2388825000,2397933000,2406346000,2414076000,2421139000,2427565000,2433372000,2438585000,2443201000,2447216000,2450614000,2453389000,2455568000,2457172000,2458260000,2458862000,2459020000,2458733000,2457980000,2456738000,2454982000,2452695000,2449875000,2446509000,2442608000,2438173000,2433219000,2427527000
East Asia & Pacific (excluding high income),EAP,1833442370,1849627169,1865152550,1880268773,1895295259,1909911027,1924037330,1938075970,1952035667,1965972280,1980957952,1997902548,2014796921,2031203532,2046847689,2062250022,2077988679,2091698238,2103723076,2114009483,2122086315,2132627000,2142588000,2151906000,2160569000,2168592000,2175998000,2182817000,2189066000,2194764000,2199906000,2204484000,2208484000,2211894000,2214741000,2217044000,2218860000,2220221000,2221161000,2221686000,2221769000,2221384000,2220507000,2219118000,2217214000,2214786000,2211843000,2208385000,2204432000,2199795000
East Asia & Pacific (IDA & IBRD countries),TEA,1810261111,1826238741,1841560611,1856486255,1871341383,1885806879,1899800479,1913718217,1927560597,1941377365,1956238874,1973056377,1989821912,2006100237,2021618425,2036897092,2052513823,2066103849,2078012370,2088186305,2096155040,2106592000,2116454000,2125677000,2134250000,2142186000,2149510000,2156253000,2162432000,2168069000,2173157000,2177689000,2181651000,2185030000,2187854000,2190142000,2191949000,2193307000,2194251000,2194785000,2194882000,2194516000,2193661000,2192299000,2190424000,2188028000,2185120000,2181698000,2177785000,2173190000
Ecuador,ECU,12914660,13143465,13369678,13596390,13825839,14059379,14296554,14535740,14774412,15011114,15243885,15474099,15707473,15951832,16212022,16491116,16785356,17084359,17373657,17643060,17888474,18113000,18324000,18531000,18741000,18955000,19172000,19390000,19606000,19819000,20028000,20233000,20436000,20635000,20832000,21025000,21215000,21401000,21584000,21762000,21937000,22107000,22274000,22436000,22594000,22747000,22896000,23041000,23181000,23316000
"Egypt, Arab Rep.",EGY,70152662,71485044,72826102,74172073,75523576,76873670,78232124,79636081,81134789,82761244,84529251,86422240,88404652,90424668,92442549,94447071,96442590,98423602,100388076,102334403,104258327,106157000,108032000,109887000,111728000,113554000,115367000,117176000,118995000,120832000,122689000,124568000,126469000,128393000,130340000,132312000,134305000,136315000,138332000,140350000,142366000,144379000,146383000,148377000,150355000,152316000,154259000,156181000,158081000,159957000
El Salvador,SLV,5927001,5962139,5994075,6023801,6052124,6079395,6105810,6131767,6157678,6183877,6210567,6237922,6266076,6295124,6325121,6356137,6388124,6420740,6453550,6486201,6518500,6550000,6582000,6613000,6643000,6673000,6701000,6729000,6755000,6779000,6800000,6819000,6837000,6853000,6869000,6884000,6898000,6911000,6922000,6931000,6939000,6945000,6950000,6952000,6953000,6953000,6951000,6948000,6943000,6937000
Equatorial Guinea,GNQ,631662,658388,686670,716949,749527,784494,821686,860839,901589,943640,986861,1031191,1076412,1122273,1168575,1215181,1262008,1308966,1355982,1402985,1449891,1497000,1543000,1590000,1637000,1684000,1732000,1779000,1827000,1874000,1920000,1966000,2013000,2059000,2106000,2153000,2201000,2249000,2297000,2346000,2394000,2442000,2490000,2538000,2585000,2633000,2680000,2727000,2774000,2821000
Eritrea,ERI,2374721,2481059,2600972,2719809,2826653,2918209,2996540,3062782,3119920,3170437,3213969,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,EST,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326855,1329479,1329254,1324000,1319000,1313000,1307000,1302000,1297000,1292000,1286000,1281000,1275000,1269000,1262000,1255000,1249000,1242000,1235000,1229000,1222000,1216000,1209000,1203000,1197000,1191000,1185000,1179000,1173000,1168000,1162000,1156000
Eswatini,SWZ,1013608,1019054,1022796,1026287,1030575,1036095,1042651,1049948,1057462,1064841,1072029,1079285,1086843,1095022,1104038,1113994,1124808,1136274,1148133,1160164,1172369,1185000,1198000,1210000,1224000,1237000,1251000,1265000,1281000,1298000,1317000,1337000,1358000,1380000,1401000,1423000,1444000,1465000,1486000,1507000,1528000,1549000,1570000,1590000,1610000,1630000,1649000,1668000,1686000,1704000
Ethiopia,ETH,68159422,70142090,72170581,74239508,76346310,78489205,80674343,82916236,85233923,87639962,90139928,92726982,95385793,98094264,100835453,103603461,106399926,109224410,112078727,114963583,117876226,120813000,123771000,126751000,129749000,132766000,135797000,138839000,141890000,144944000,148001000,151059000,154117000,157175000,160231000,163284000,166333000,169379000,172423000,175466000,178508000,181546000,184578000,187601000,190611000,193605000,196584000,199546000,202488000,205411000
Euro area,EMU,322547874,324125339,325885957,327682513,329380417,330922785,332645162,334274725,335360891,336151482,335419656,336159199,337302111,338462234,339488382,340481755,341217243,341979171,342283354,342708355,342566541,342401000,342183000,341946000,341716000,341489000,341252000,340997000,340711000,340385000,340024000,339631000,339212000,338769000,338300000,337805000,337279000,336721000,336124000,335481000,334795000,334063000,333277000,332444000,331560000,330631000,329660000,328654000,327621000,326518000
Europe & Central Asia,ECS,862339994,863908064,866189044,868783653,871433207,874134287,877278821,880911644,884448855,887904313,890136603,893755804,898022522,902367876,906669764,910870489,914608311,918031055,920807612,922976036,923753699,924845000,925725000,926450000,927115000,927725000,928261000,928718000,929064000,929293000,929433000,929497000,929499000,929441000,929316000,929134000,928902000,928619000,928293000,927913000,927474000,926978000,926413000,925773000,925059000,924266000,923396000,922450000,921431000,920240000
Europe & Central Asia (excluding high income),ECA,369175354,369249571,369571302,370059210,370609108,371295237,372310742,373834315,375654151,377813291,380138981,382476923,385050864,387621858,390258029,392836210,395257485,397406103,399386100,400895993,401828885,402904000,403776000,404534000,405243000,405924000,406571000,407188000,407762000,408290000,408796000,409282000,409749000,410195000,410611000,411007000,411387000,411754000,412120000,412479000,412829000,413167000,413492000,413794000,414076000,414330000,414556000,414751000,414914000,415006000
Europe & Central Asia (IDA & IBRD countries),TEC,433855042,433512605,433653597,433997780,434404383,434941423,435624501,436807654,438478422,440398383,442630386,444865680,447330442,449780961,452263661,454682913,456945557,458942666,460788476,462100263,462624055,463522000,464224000,464804000,465321000,465793000,466214000,466590000,466907000,467167000,467392000,467584000,467750000,467883000,467980000,468051000,468102000,468138000,468171000,468200000,468221000,468234000,468238000,468223000,468193000,468138000,468057000,467943000,467795000,467564000
European Union,EUU,429895628,430881947,432415932,434040244,435581949,436998045,438468397,439876674,440917801,441532415,440746989,441395937,442469469,443576675,444543761,445487730,446186344,446915113,447197811,447479493,446946712,446606000,446214000,445789000,445352000,444893000,444399000,443865000,443274000,442626000,441924000,441171000,440384000,439558000,438703000,437816000,436895000,435942000,434952000,433922000,432853000,431744000,430587000,429389000,428146000,426862000,425539000,424177000,422785000,421304000
Faroe Islands,FRO,46999,47235,47439,47600,47731,47793,47825,47822,47814,47803,47815,47843,47901,47965,48055,48173,48326,48497,48677,48865,49053,49000,49000,50000,50000,50000,50000,50000,51000,51000,51000,51000,52000,52000,52000,52000,52000,52000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000,53000
Fiji,FJI,813923,815257,816078,817864,821606,827869,836185,845356,853636,859816,863451,865065,865602,866447,868632,872406,877460,883490,889955,896444,902899,909000,916000,923000,930000,937000,944000,952000,959000,966000,973000,979000,986000,992000,998000,1004000,1010000,1016000,1022000,1027000,1032000,1037000,1042000,1047000,1051000,1055000,1060000,1064000,1068000,1071000
Finland,FIN,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541696,5547000,5551000,5555000,5558000,5560000,5560000,5559000,5557000,5553000,5548000,5543000,5538000,5533000,5528000,5522000,5517000,5512000,5508000,5503000,5498000,5494000,5489000,5484000,5479000,5474000,5468000,5463000,5457000,5450000
Fragile and conflict affected situations,FCS,586760366,601848734,617468591,633460044,649704454,666174377,682901570,700030438,717553793,735448194,753858934,772742559,791943328,811249811,830536041,849739853,868954263,888488369,908739462,930004306,952400963,975808000,999955000,1024468000,1049061000,1073658000,1098319000,1123066000,1147985000,1173113000,1198447000,1223942000,1249610000,1275468000,1301518000,1327768000,1354199000,1380791000,1407535000,1434404000,1461386000,1488478000,1515657000,1542904000,1570194000,1597512000,1624853000,1652211000,1679566000,1706920000
France,FRA,61357432,61805266,62244880,62704901,63179356,63621376,64016227,64374979,64707035,65027505,65342789,65659814,65998685,66312067,66548272,66724104,66918020,67101930,67248926,67379908,67499343,67656000,67819000,67979000,68126000,68260000,68380000,68487000,68581000,68665000,68741000,68809000,68872000,68930000,68984000,69034000,69080000,69123000,69161000,69196000,69225000,69248000,69265000,69276000,69279000,69275000,69262000,69243000,69218000,69180000
French Polynesia,PYF,244929,248976,252707,255995,258780,261007,262717,264064,265256,266449,267702,268995,270332,271713,273119,274576,276108,277673,279285,280904,282534,284000,286000,287000,289000,291000,292000,294000,295000,297000,298000,299000,301000,302000,303000,304000,305000,306000,307000,308000,308000,309000,309000,310000,310000,310000,311000,311000,311000,311000
Gabon,GAB,1258008,1288310,1319946,1353788,1390550,1430144,1472565,1518538,1568925,1624146,1684629,1749677,1817070,1883801,1947690,2007882,2064812,2119275,2172578,2225728,2278829,2332000,2384000,2436000,2488000,2539000,2591000,2642000,2693000,2744000,2796000,2847000,2898000,2950000,3002000,3054000,3106000,3159000,3212000,3265000,3319000,3373000,3427000,3482000,3537000,3591000,3646000,3700000,3755000,3809000
"Gambia, The",GMB,1360070,1404263,1449925,1496524,1543745,1591444,1639846,1689288,1740277,1793199,1848142,1905020,1963708,2024037,2085860,2149134,2213900,2280092,2347696,2416664,2486937,2558000,2631000,2705000,2780000,2856000,2934000,3012000,3091000,3171000,3251000,3333000,3415000,3498000,3582000,3666000,3751000,3836000,3922000,4008000,4095000,4182000,4269000,4356000,4444000,4531000,4619000,4707000,4795000,4882000
Georgia,GEO,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610,3696000,3684000,3671000,3657000,3643000,3628000,3613000,3597000,3581000,3565000,3548000,3531000,3514000,3497000,3480000,3463000,3446000,3429000,3412000,3395000,3378000,3361000,3344000,3327000,3310000,3293000,3275000,3258000,3240000
Germany,DEU,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,83129285,83001000,82837000,82678000,82553000,82460000,82390000,82333000,82276000,82210000,82133000,82045000,81947000,81839000,81720000,81591000,81450000,81295000,81128000,80946000,80751000,80543000,80322000,80090000,79849000,79603000,79354000,79105000,78859000,78610000
Ghana,GHA,19756929,20246376,20750308,21272328,21814648,22379057,22963946,23563832,24170943,24779614,25387713,25996454,26607641,27224480,27849203,28481947,29121464,29767108,30417858,31072945,31732128,32395000,33063000,33734000,34409000,35087000,35769000,36454000,37142000,37833000,38528000,39225000,39925000,40627000,41332000,42038000,42747000,43457000,44169000,44883000,45597000,46313000,47029000,47745000,48461000,49175000,49888000,50600000,51309000,52016000
Gibraltar,GIB,31604,32097,32556,32930,33222,33420,33524,33570,33562,33585,33608,33653,33694,33726,33742,33738,33723,33715,33706,33691,33691,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
Greece,GRC,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10700556,10664568,10605000,10548000,10494000,10442000,10391000,10342000,10294000,10247000,10201000,10156000,10111000,10067000,10024000,9980000,9937000,9893000,9849000,9805000,9760000,9713000,9666000,9618000,9569000,9519000,9467000,9414000,9359000,9302000,9241000
Greenland,GRL,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56171,56023,56225,56367,56653,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,GRD,103242,103636,104003,104346,104658,104938,105183,105457,105787,106227,106786,107452,108172,108900,109603,110263,110874,111449,112002,112519,113015,113000,114000,114000,115000,115000,115000,115000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000,116000
Guam,GUM,156395,157173,157723,158094,158406,158649,158848,159037,159232,159439,159690,159990,160415,161007,161851,162948,164281,165770,167295,168783,170184,172000,173000,174000,175000,177000,178000,179000,180000,181000,182000,183000,184000,185000,186000,187000,187000,188000,189000,189000,190000,190000,191000,191000,192000,192000,192000,192000,193000,193000
Guatemala,GTM,11871565,12147518,12415334,12682108,12948292,13213330,13477017,13739299,14000190,14259687,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,17109746,17422000,17733000,18044000,18354000,18663000,18971000,19276000,19579000,19881000,20179000,20475000,20768000,21058000,21344000,21626000,21905000,22180000,22452000,22721000,22986000,23248000,23506000,23761000,24011000,24258000,24501000,24739000,24973000,25203000
Guinea,GIN,8417082,8586077,8753097,8925729,9109585,9307421,9518159,9738796,9964470,10192168,10420459,10652032,10892821,11150970,11432096,11738434,12067516,12414292,12771246,13132792,13497237,13866000,14239000,14618000,15004000,15397000,15795000,16199000,16608000,17021000,17439000,17861000,18287000,18716000,19150000,19587000,20027000,20470000,20916000,21365000,21816000,22269000,22725000,23184000,23644000,24107000,24571000,25037000,25504000,25972000
Guinea-Bissau,GNB,1227105,1254454,1283297,1313492,1344931,1377582,1411545,1446936,1483920,1522603,1562996,1604981,1648259,1692433,1737207,1782434,1828146,1874304,1920917,1967998,2015490,2063000,2112000,2160000,2209000,2259000,2309000,2359000,2410000,2461000,2513000,2565000,2618000,2671000,2724000,2778000,2832000,2886000,2941000,2996000,3052000,3107000,3163000,3220000,3276000,3332000,3389000,3445000,3501000,3557000
Guyana,GUY,745206,744789,745142,745737,746156,746335,746477,746815,747718,749430,752029,755388,759281,763371,767433,771363,775218,779007,782775,786559,790329,794000,798000,801000,805000,809000,812000,815000,819000,822000,824000,827000,829000,830000,832000,833000,834000,835000,835000,835000,835000,835000,834000,834000,833000,832000,830000,829000,827000,825000
Haiti,HTI,8608810,8754148,8900108,9047082,9195289,9344784,9495336,9646570,9798046,9949318,10100320,10250922,10400672,10549007,10695540,10839976,10982367,11123183,11263079,11402533,11541683,11680000,11818000,11954000,12089000,12221000,12352000,12480000,12607000,12733000,12857000,12980000,13101000,13222000,13341000,13459000,13576000,13691000,13805000,13916000,14024000,14130000,14233000,14334000,14432000,14527000,14619000,14709000,14795000,14878000
Heavily indebted poor countries (HIPC),HPC,485112670,499113608,513601222,528444638,543555314,558909246,574560319,590590409,607115601,624219296,641921373,660193919,679013004,698336663,718128408,738387077,759106118,780234453,801708019,823480038,845522272,867840000,890458000,913428000,936772000,960494000,984575000,1009000000,1033747000,1058784000,1084116000,1109730000,1135609000,1161743000,1188124000,1214728000,1241555000,1268581000,1295809000,1323216000,1350797000,1378534000,1406421000,1434437000,1462569000,1490800000,1519122000,1547530000,1575989000,1604508000
High income,HIC,1107011730,1113896452,1120929677,1128394861,1136053424,1144406539,1153028462,1162203098,1170539840,1178066137,1183478609,1190276979,1197153389,1204216436,1211083838,1217994923,1224138952,1229836619,1234830048,1240684527,1241374277,1244377000,1247378000,1250246000,1253035000,1255734000,1258316000,1260763000,1263033000,1265133000,1267069000,1268854000,1270491000,1271973000,1273300000,1274471000,1275492000,1276360000,1277091000,1277681000,1278136000,1278466000,1278665000,1278743000,1278709000,1278556000,1278307000,1277968000,1277552000,1276935000
Honduras,HND,6751912,6929267,7106323,7282953,7458982,7634295,7808520,7980955,8150780,8317467,8480670,8640692,8798524,8955579,9112904,9270794,9429016,9587523,9746115,9904608,10062994,10221000,10379000,10536000,10692000,10847000,11000000,11152000,11302000,11449000,11594000,11737000,11877000,12014000,12148000,12280000,12410000,12536000,12660000,12780000,12898000,13013000,13125000,13234000,13341000,13445000,13546000,13644000,13739000,13831000
"Hong Kong SAR, China",HKG,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7393200,7452600,7507900,7481000,7413100,7461000,7510000,7563000,7620000,7678000,7736000,7788000,7832000,7865000,7890000,7906000,7916000,7922000,7926000,7928000,7926000,7922000,7915000,7904000,7891000,7876000,7859000,7841000,7823000,7804000,7786000,7769000,7752000,7736000
Hungary,HUN,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,9709886,9679000,9647000,9614000,9581000,9546000,9510000,9473000,9434000,9395000,9354000,9311000,9266000,9221000,9174000,9126000,9078000,9030000,8983000,8936000,8891000,8847000,8803000,8761000,8720000,8680000,8640000,8600000,8560000,8519000
IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Iceland,ISL,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,352721,360563,366463,372295,374000,376000,378000,380000,382000,384000,386000,387000,389000,390000,392000,393000,394000,395000,396000,397000,398000,399000,400000,401000,401000,402000,402000,403000,403000,404000,404000,404000,404000
IDA & IBRD total,IBT,5137393838,5209071406,5280906028,5352906491,5425273244,5497768362,5570325587,5643683607,5717805879,5792386087,5868805803,5947406419,6026674017,6105863361,6184735051,6263736146,6343292514,6420905201,6496952025,6571053159,6642614110,6717178000,6791096000,6864212000,6936435000,7007719000,7078078000,7147544000,7216158000,7283941000,7350886000,7416953000,7482099000,7546280000,7609506000,7671771000,7733132000,7793590000,7853184000,7911890000,7969667000,8026462000,8082245000,8136963000,8190604000,8243122000,8294521000,8344769000,8393855000,8441532000
IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
India,IND,1075000094,1093317187,1111523146,1129623466,1147609924,1165486291,1183209471,1200669762,1217726217,1234281163,1250287939,1265780243,1280842119,1295600768,1310152392,1324517250,1338676779,1352642283,1366417756,1380004385,1393409033,1406632000,1419656000,1432456000,1445012000,1457309000,1469339000,1481083000,1492524000,1503642000,1514427000,1524862000,1534914000,1544544000,1553724000,1562439000,1570690000,1578478000,1585809000,1592692000,1599124000,1605109000,1610670000,1615832000,1620619000,1625039000,1629096000,1632799000,1636157000,1639176000
Indonesia,IDN,214427419,217357790,220309473,223285666,226289468,229318262,232374239,235469755,238620554,241834226,245115988,248451714,251805314,255128076,258383257,261556386,264650969,267670549,270625567,273523621,276361788,279135000,281844000,284495000,287090000,289628000,292109000,294533000,296896000,299198000,301439000,303618000,305733000,307783000,309765000,311679000,313525000,315300000,317005000,318638000,320199000,321688000,323103000,324442000,325705000,326892000,328004000,329042000,330008000,330905000
"Iran, Islamic Rep.",IRN,66449111,67284801,68122947,68951279,69762345,70554756,71336476,72120608,72924833,73762519,74634959,75539881,76481963,77465769,78492208,79563991,80673888,81800204,82913893,83992953,85028760,86023000,86976000,87892000,88775000,89623000,90433000,91208000,91951000,92664000,93348000,94005000,94638000,95250000,95844000,96422000,96985000,97534000,98070000,98594000,99106000,99606000,100094000,100570000,101032000,101480000,101913000,102329000,102725000,103098000
Iraq,IRQ,24208178,24931922,25644503,26313838,26922279,27448124,27911242,28385739,28973157,29741977,30725305,31890012,33157061,34411949,35572269,36610632,37552789,38433604,39309789,40222503,41179351,42165000,43171000,44182000,45187000,46186000,47183000,48181000,49184000,50194000,51212000,52236000,53267000,54303000,55343000,56386000,57433000,58483000,59533000,60584000,61633000,62681000,63726000,64769000,65809000,66845000,67876000,68903000,69924000,70940000
Ireland,IRL,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985674,5028230,5060000,5088000,5114000,5140000,5167000,5194000,5220000,5246000,5270000,5294000,5317000,5339000,5361000,5384000,5406000,5429000,5452000,5475000,5497000,5520000,5542000,5564000,5584000,5604000,5623000,5641000,5657000,5672000,5685000
Isle of Man,IMN,77707,78318,78878,79515,80293,81283,82406,83515,84379,84856,84889,84534,83985,83488,83232,83296,83610,84073,84589,85032,85410,86000,86000,86000,87000,87000,87000,87000,88000,88000,88000,89000,89000,89000,89000,89000,90000,90000,90000,90000,90000,90000,90000,91000,91000,91000,91000,91000,91000,91000
Israel,ISR,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,9364000,9504000,9643000,9782000,9921000,10060000,10199000,10337000,10475000,10613000,10751000,10889000,11028000,11167000,11307000,11447000,11589000,11732000,11876000,12021000,12167000,12315000,12463000,12611000,12760000,12908000,13057000,13205000,13352000,13499000
Italy,ITA,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59449527,59066225,58936000,58802000,58661000,58506000,58340000,58164000,57980000,57793000,57605000,57418000,57231000,57046000,56861000,56675000,56488000,56296000,56098000,55892000,55675000,55446000,55204000,54946000,54673000,54382000,54076000,53755000,53422000,53078000,52716000
Jamaica,JAM,2674706,2692843,2709438,2725017,2740000,2754414,2768229,2781869,2795839,2810464,2825932,2842128,2858710,2875137,2891024,2906242,2920848,2934853,2948277,2961161,2973462,2985000,2996000,3006000,3015000,3024000,3031000,3038000,3043000,3048000,3052000,3055000,3057000,3058000,3058000,3057000,3055000,3053000,3049000,3045000,3040000,3034000,3027000,3020000,3012000,3003000,2993000,2983000,2972000,2960000
